user_id,priority,performance
user0,0,-2.68
user0,1,-0.6357142857142856
user0,2,-3.7510000000000003
user0,3,-3.467777777777778
user0,4,-3.765
user1,0,-2.6816666666666666
user1,1,-2.60625
user1,2,-2.05
user1,3,-3.4159999999999995
user1,4,-1.2925
user10,0,-2.4499999999999993
user10,1,-2.015714285714286
user10,2,-3.2914285714285714
user10,3,-0.7666666666666666
user10,4,-1.7566666666666666
user100,0,-3.28
user100,1,-1.8875
user100,2,-6.615555555555556
user100,3,-2.555
user100,4,0.0
user101,0,-0.41
user101,1,-4.354
user101,2,-4.164
user101,3,-4.27
user101,4,-1.1333333333333333
