user_id,priority,performance
user0,0,-6.076666666666667
user0,1,-3.09
user0,2,-1.2786666666666666
user0,3,-2.4624999999999995
user0,4,-1.3800000000000001
user1,0,-4.2299999999999995
user1,1,-3.47
user1,2,-3.1359999999999997
user1,3,-6.15625
user1,4,-3.7199999999999998
user10,0,-7.466666666666666
user10,1,-5.242
user10,2,-4.550909090909091
user10,3,-3.5983333333333327
user10,4,-1.85
user100,0,-0.17500000000000002
user100,1,-0.12200000000000007
user100,2,-2.6136842105263156
user100,3,-4.389999999999999
user100,4,-2.2133333333333334
user101,0,0.0
user101,1,-3.8991666666666673
user101,2,-3.011
user101,3,-4.3340000000000005
user101,4,-2.215
user102,0,-2.395
user102,1,-2.1455555555555557
user102,2,-4.981818181818182
user102,3,-4.579999999999999
user102,4,-3.66
user103,0,-2.7699999999999996
user103,1,-4.598
user103,2,-3.3542857142857145
user103,3,-3.637777777777778
user103,4,-5.237500000000001
user104,0,-3.005
user104,1,-5.175714285714285
user104,2,-3.9436363636363634
user104,3,-2.905714285714286
user104,4,-1.9000000000000001
user105,0,-5.0024999999999995
user105,1,-3.5825
user105,2,-1.9108333333333334
user105,3,-2.408888888888889
user105,4,-2.07
user106,0,-4.6899999999999995
user106,1,0.34
user106,2,-2.7863636363636366
user106,3,-1.3433333333333335
user106,4,-2.8816666666666664
user107,0,-1.0933333333333333
user107,1,-1.362
user107,2,-0.885
user107,3,-3.9153846153846157
user107,4,-2.1900000000000004
user108,0,-3.5533333333333332
user108,1,0.13749999999999996
user108,2,-2.707142857142857
user108,3,-0.3633333333333333
user108,4,-9.459999999999999
user109,0,-1.6900000000000002
user109,1,-1.98
user109,2,-1.8344444444444445
user109,3,-3.1887499999999998
user109,4,-2.61
user11,0,0.0
user11,1,-2.3699999999999997
user11,2,-2.7827272727272727
user11,3,-3.429166666666667
user11,4,-7.713333333333334
user110,0,-0.9480000000000001
user110,1,-3.891428571428572
user110,2,-3.6966666666666663
user110,3,-3.9791666666666674
user110,4,-2.5030523809523815
user111,0,-1.04
user111,1,-2.1425
user111,2,-6.28
user111,3,-4.08
user111,4,-2.24
user112,0,-3.1125000000000003
user112,1,-2.86125
user112,2,-1.852
user112,3,-2.2966666666666664
user112,4,2.88
user113,0,-4.640000000000001
user113,1,-1.8279999999999998
user113,2,-5.336
user113,3,-7.113333333333333
user113,4,-3.9966666666666666
user114,0,1.1400000000000001
user114,1,-2.062727272727273
user114,2,-3.1845454545454546
user114,3,-5.246
user114,4,-7.3500000000000005
user115,0,-2.412
user115,1,-1.2871428571428571
user115,2,-2.7783333333333338
user115,3,-3.094615384615385
user115,4,-1.44
user116,0,-2.7812034632034632
user116,1,-2.1536363636363633
user116,2,-3.9507142857142865
user116,3,-0.7416666666666667
user116,4,-7.06
user117,0,-0.08
user117,1,-4.45
user117,2,-2.005
user117,3,-1.9339999999999997
user117,4,-8.31
user118,0,-3.765416666666667
user118,1,-3.340833333333333
user118,2,-3.6712500000000006
user118,3,-3.6550000000000002
user118,4,-8.16
user119,0,0.0
user119,1,-3.8925
user119,2,-5.172857142857143
user119,3,-5.134
user119,4,0.93
user12,0,-1.7599999999999998
user12,1,-3.7670000000000003
user12,2,-2.4075
user12,3,-5.994
user12,4,-6.953333333333333
user120,0,-3.495
user120,1,-5.475714285714285
user120,2,-4.683999999999999
user120,3,-5.046
user120,4,-3.7401428571428568
user121,0,-1.68
user121,1,-2.14625
user121,2,-4.721818181818182
user121,3,-2.223333333333333
user121,4,-1.7933333333333332
user122,0,1.7633333333333336
user122,1,-1.8236363636363635
user122,2,-3.5892307692307686
user122,3,-3.81
user122,4,-1.905
user123,0,-9.47
user123,1,-3.374545454545455
user123,2,-3.6421428571428573
user123,3,-3.483333333333334
user123,4,-3.994004329004329
user124,0,-0.45199999999999996
user124,1,-5.406000000000001
user124,2,-4.28
user124,3,-3.175
user124,4,-2.1750000000000003
user125,0,-2.8913863636363635
user125,1,-3.2181818181818183
user125,2,-1.3225
user125,3,-5.73625
user125,4,-4.180000000000001
user126,0,-2.8269166666666665
user126,1,-4.924999999999999
user126,2,-2.983333333333334
user126,3,-5.34125
user126,4,-0.8849999999999999
user127,0,-4.699999999999999
user127,1,-3.936666666666667
user127,2,-4.761304347826086
user127,3,-3.897692307692308
user127,4,0.09
user128,0,-1.4138190476190478
user128,1,-1.8314285714285716
user128,2,-2.6260000000000003
user128,3,-1.6516666666666666
user128,4,-0.96
user129,0,-15.39
user129,1,-2.4725
user129,2,-4.7125
user129,3,-3.01
user129,4,-9.200000000000001
user13,0,-3.6750000000000003
user13,1,-5.266249999999999
user13,2,-3.1012500000000003
user13,3,-4.725
user13,4,-1.2139999999999997
user130,0,-1.67
user130,1,-3.475
user130,2,-1.8112499999999998
user130,3,-2.3177777777777777
user130,4,-1.0959999999999999
user131,0,-3.572577777777778
user131,1,-1.97
user131,2,-5.524
user131,3,-5.202222222222222
user131,4,-5.166666666666667
user132,0,-2.3800000000000003
user132,1,-4.02
user132,2,-5.668181818181818
user132,3,-1.735
user132,4,0.37
user133,0,-1.8475000000000001
user133,1,-3.1791666666666667
user133,2,-0.6033333333333333
user133,3,-1.6366666666666667
user133,4,-1.4533333333333336
user134,0,0.13499999999999995
user134,1,-1.11
user134,2,-0.29000000000000004
user134,3,-3.8870000000000005
user134,4,-6.1775
user135,0,1.08
user135,1,-1.6049999999999998
user135,2,-3.4844444444444442
user135,3,-3.2471428571428573
user135,4,-2.0100000000000002
user136,0,-8.34
user136,1,-0.499
user136,2,-3.2891666666666666
user136,3,-1.37
user136,4,-6.465
user137,0,-1.305
user137,1,-3.9827272727272724
user137,2,-2.695
user137,3,-2.8633333333333333
user137,4,-5.18
user138,0,-1.7344666666666668
user138,1,-1.2760000000000002
user138,2,-2.748333333333333
user138,3,-4.188
user138,4,-0.45999999999999996
user139,0,-0.37333333333333335
user139,1,-3.5244444444444447
user139,2,-3.123125
user139,3,-5.292
user139,4,-7.544999999999999
user14,0,-13.605
user14,1,-1.7100000000000002
user14,2,-3.34125
user14,3,-0.26199999999999996
user14,4,-3.3580000000000005
user140,0,-9.450000000000001
user140,1,-0.8716666666666667
user140,2,-3.3349999999999995
user140,3,-2.368125
user140,4,-12.409999999999998
user141,0,-4.6
user141,1,-1.6100000000000003
user141,2,-5.809374999999999
user141,3,-2.3346153846153843
user141,4,0.2166666666666667
user142,0,-1.518
user142,1,-4.285
