"user_id","task_id","percentage"
"9a69cc10-97a5-49ba-951a-e0000a99ff72","76225",70
"59309cef-a857-4613-8c32-fc4cefa4e726","76225",14
"c42a46d9-0ada-4b94-9070-e28b25a1a341","76225",52
"c08d7fb4-a1cf-493b-b832-0bf4e66a0273","76225",32
"104da852-c0be-4472-bcb7-6504ece2776d","76225",34
"830fde78-6d5c-40c4-9abe-d1d3eb3008d9","76225",25
"ad7a7620-8e6a-48aa-847b-aba815b54687","76225",81
"33034593-33d1-4c1c-95a0-47b51464fc51","76225",29
"191a73ac-60a3-4f67-a301-a42d6ccb6cff","76225",75
"7d1fa345-b9b7-45fa-9627-7bc1e8a9b219","76225",36
"9683203e-eb83-4b6e-84ee-be581a7e1d8c","76225",74
"251ea200-84f0-4cb0-a518-c9a40e4a98a5","76225",100
"62233e0a-e8b8-420c-9244-945883eb1e57","76225",40
"ca5c440e-a933-4280-9462-0c3047a2ff0d","76225",63
"91d5cb2f-86db-4230-a6d3-ac4477a83c74","76224",2
"9a8a9ec8-4972-41b0-98a8-dfdbb18896df","76224",41
"e22e770f-6232-47f7-bf00-e82078dabce6","76224",14
"60d39b1c-fca0-4025-b9b5-85a7e5875838","76224",43
"210a99df-423b-4592-b6db-099221fbd5dc","76224",55
"d7667245-7148-425f-8ed9-7f993e117ce2","76224",75
"9ae154a2-9745-4f77-ab02-8af630bcfbcb","76224",17
"08b3615c-1092-4ea3-910e-6aa525bddbce","76224",75
"f45119ff-5456-4818-9bb5-b3b539c2239f","76224",68
"57de1676-c593-4fa0-86de-3e771a723306","76224",24
"1c00340d-8d6a-4e85-98c0-3abd0069df1d","76224",92
"ff374d98-5801-48c7-ad15-5c067bd5fa7f","76223",57
"ae47dfc7-0d98-4c56-92e1-dac8cd8fca78","76223",90
"f6c86391-b63e-46b5-8f48-78aab38cc7d7","76228",85
"206d5fc0-8e44-4719-92d0-8960de47caa2","76436",74
"895237ef-0086-4032-ac23-8a8e02184759","76436",14
"7a7d3291-cd13-4184-8e57-f5444b704f91","76436",7
"d2cb55a3-684c-46d4-aa69-b8dae57d6586","76436",29
"97f6a17e-4a37-4682-abe0-acde138674ae","76436",51
"c89979ac-ad86-4f0c-a5b7-c1d55c188001","76229",95
"1697a27d-3a60-4c11-9d78-afc01690e41c","76229",12
"841ff827-e40c-47f9-b90a-bd8b31dc6f84","76229",13
"de47eb69-e753-4a5f-b9ee-1bf697b7dcee","76229",86
"2642634a-26d8-4fff-8a01-42d65be4cfc9","76230",58
"b1d62a49-b9df-4980-a508-5705fea46f83","76230",45
"699cdf4f-5656-44f2-b1c2-4b1823214fe8","76230",70
"58ecd083-5529-4295-940c-36a32ba6d0f9","76230",97
"c9ca01e9-338b-4155-b8b6-ed7d56f383af","76230",59
"1c7a33b1-8d4f-4f1c-8a2a-2f6221dc061e","76230",39
"23625dd6-3e0d-4dce-92b9-9946e2f96355","76230",81
"5d72687f-d726-41a7-b3a0-b9fd8b77f231","76230",53
"7c3ef559-f4ad-4940-8ece-d86c58c660ef","76230",98
"5dc8c51e-8d26-4c12-9702-c95d1b4e48c7","76230",87
"5c1af598-49e5-46ae-8b34-07a527443c61","76230",89
"ea192d56-4d8c-4f1e-b4a2-73bb7d4fa087","76230",71
"5200a44b-22d5-494e-afce-6c72a1c7f9c5","76230",45
"2188be65-88c3-47bf-b814-0b6d997d6548","76231",56
"0a9ade63-6784-487e-9ead-684e6d38af7c","76231",83
"7a7d3291-cd13-4184-8e57-f5444b704f91","76231",13
"6e7d6798-d895-4175-bb75-344093b2d032","76231",97
"3d3be6a8-9b24-4819-93e4-c5d15ccf5013","76231",94
"7d1fa345-b9b7-45fa-9627-7bc1e8a9b219","76231",89
"c19c65a3-999d-491e-abe8-20c35a21c526","76231",21
"e0a303b7-c17a-4f77-b03b-f81da061ec45","76506",99
"1f70b923-9447-4805-962b-26fb880d5f23","76506",41
"402f799b-f62e-4c09-bdef-1a36abe380cd","76506",31
"95711949-2f43-4ca6-9423-ed99fe553ec0","76506",10
"73bb1efa-ad5a-40cb-935f-013208c1342d","76506",65
"8b656068-b836-4b7e-91a0-5c4088c8453f","76506",88
"2d1049f9-2bb0-4b35-8b06-3ec97740b566","76506",57
"84ce631f-7d91-42f1-bf26-7711af6db709","76506",78
"3d44eea5-dea9-44ef-8fe4-bd534171aec1","76506",51
"30bf26e4-d5e7-4482-ae9f-d43cd8f91176","76506",63
"fe742410-0838-4aa1-aa29-177280c82b49","76506",7
"d82fa166-88ef-4c02-9ff2-2eac544f6bd8","76765",28
"250be500-e66f-4907-bb74-754091663f7b","76765",49
"59309cef-a857-4613-8c32-fc4cefa4e726","76765",24
"5f17f79e-c948-401e-9ca6-2a44bf6f20da","76765",3
"ce706a37-8ece-43b5-8761-59af81576677","76765",71
"97f6a17e-4a37-4682-abe0-acde138674ae","76765",33
"19b21586-e347-4007-be72-ed16c78aed89","76765",13
"f79841c6-518c-43fe-8c14-444070f038ce","76765",85
"3fd3f4a4-1059-4fba-b41d-7f6065282184","76838",64
