user_id,priority,performance
user0,0,-2.68
user0,1,-0.6357142857142856
user0,2,-3.7510000000000003
user0,3,-3.467777777777778
user0,4,-3.765
user1,0,-2.6816666666666666
user1,1,-2.60625
user1,2,-2.05
user1,3,-3.4159999999999995
user1,4,-1.2925
user10,0,-2.4499999999999993
user10,1,-2.015714285714286
user10,2,-3.2914285714285714
user10,3,-0.7666666666666666
user10,4,-1.7566666666666666
user100,0,-3.28
user100,1,-1.8875
user100,2,-6.615555555555556
user100,3,-2.555
user100,4,0.0
user101,0,-0.41
user101,1,-4.354
user101,2,-4.164
user101,3,-4.27
user101,4,-1.1333333333333333
user102,0,-1.82
user102,1,-3.44
user102,2,-3.6455555555555557
user102,3,-3.488888888888889
user102,4,0.0
user103,0,-1.8299999999999998
user103,1,-1.7700000000000002
user103,2,-4.735714285714287
user103,3,-4.28125
user103,4,-3.496
user104,0,-0.4766666666666666
user104,1,-1.85875
user104,2,-3.46
user104,3,-2.0378571428571433
user104,4,-6.015
user105,0,-1.36
user105,1,-2.7790000000000004
user105,2,-2.9059999999999997
user105,3,-2.5799999999999996
user105,4,-0.79
user106,0,0.49
user106,1,-5.681111111111111
user106,2,-1.1912499999999997
user106,3,-0.8057142857142857
user106,4,-1.6900000000000002
